FID,STATEFP,COUNTYFP,COUNTYNM,TRACTCE,GEOID,ALAND,AWATER,ASQMI,INTPTLAT,INTPTLON,MSSAID,MSSANM,DEFINITION,TOTALPOVPO,Shape__Area,Shape__Length
5938,06,077,San Joaquin,005223,06077005223,25314202,158124,9.83492212179,+37.7690603,-121.5273101,163,Tracy,Urban,5986,40836974.609375,38740.5365836369
5939,06,077,San Joaquin,005222,06077005222,2277647,0,0.879404864913,+37.7755166,-121.5418682,163,Tracy,Urban,4858,3651799.4609375,9628.80708049331
5940,06,077,San Joaquin,005312,06077005312,1293912,0,0.499580950072,+37.7580096,-121.4431263,163,Tracy,Urban,3414,2073577.03515625,6026.24233977892
5941,06,077,San Joaquin,003805,06077003805,1029924,35260,0.411271256979,+37.9041026,-121.3183032,169b,French Camp/Stockton South/Stockton Southeast,Urban,3329,1713768.07421875,6026.03477016588
5942,06,077,San Joaquin,003804,06077003804,2208440,217210,0.936549231894,+37.9103775,-121.3097140,169b,French Camp/Stockton South/Stockton Southeast,Urban,5765,3903491.07421875,10369.4565228807
5943,06,077,San Joaquin,003808,06077003808,1122431,0,0.433372908375,+37.9041177,-121.2995881,169b,French Camp/Stockton South/Stockton Southeast,Urban,5236,1805849.49609375,5829.70454260399
5944,06,077,San Joaquin,005139,06077005139,3217391,0,1.24224122556,+37.8132139,-121.1935863,164.2,Banta/Escalon/Ripon/Vernalis,Rural,3275,5163726.75,10231.7735691716
5945,06,077,San Joaquin,005136,06077005136,1151903,0,0.444753156299,+37.7867101,-121.2433289,164.1,Lathrop/Manteca,Urban,3445,1847428.01953125,5840.12830332434
5946,06,077,San Joaquin,003503,06077003503,2817989,10056,1.09191445451,+38.0302951,-121.2701021,167,Lockeford/North Woodbridge,Rural,8673,4565437.19921875,8508.63720109826
5947,06,077,San Joaquin,004107,06077004107,38353908,204032,14.8873065691,+38.0903749,-121.2463819,166,Lodi,Urban,2547,62342722.6757812,41608.4190505109
5948,06,077,San Joaquin,005137,06077005137,5817635,0,2.2461985008,+37.7809313,-121.2189583,164.1,Lathrop/Manteca,Urban,7629,9328879.94140625,18952.6305466949
5949,06,077,San Joaquin,005311,06077005311,791101,0,0.305445917979,+37.7586670,-121.4305292,163,Tracy,Urban,2962,1267815.74609375,4534.47664015862
5950,06,077,San Joaquin,000102,06077000102,1316061,16915,0.514664353424,+37.9559478,-121.2858947,169b,French Camp/Stockton South/Stockton Southeast,Urban,2146,2147598.12890625,6261.45267379413
5951,06,077,San Joaquin,004206,06077004206,1383031,0,0.533990972413,+38.1377714,-121.3021167,166,Lodi,Urban,3390,2239237.37890625,6378.58912339099
5952,06,077,San Joaquin,003219,06077003219,4143185,125031,1.6479669696,+38.0497939,-121.3360671,169a,Stockton North Central/Stockton Northeast,Urban,9657,6894144.4296875,10863.920244768
